    0.52666664D 01    0.10535627D 01    0.42580912D 01    0.19888270D 04    0.12878906D 00    0.13425762D 01
    0.52999992D 01    0.55205175D 00   -0.14246680D 01    0.19887218D 04    0.12648721D 00    0.13699091D 01
    0.53333330D 01    0.50539400D-01   -0.71073294D 01    0.19890103D 04    0.12638857D 00    0.14225019D 01
    0.53666658D 01   -0.45097692D 00   -0.12789475D 02    0.19896817D 04    0.12768944D 00    0.14999257D 01
    0.53999996D 01   -0.95249971D 00   -0.18470705D 02    0.19907102D 04    0.12976206D 00    0.16028420D 01
    0.54333324D 01   -0.14540323D 01   -0.24150655D 02    0.19920571D 04    0.13233088D 00    0.17320091D 01
    0.54666662D 01   -0.19555787D 01   -0.29829003D 02    0.19936714D 04    0.13547135D 00    0.18898032D 01
    0.54999990D 01   -0.24571446D 01   -0.35505490D 02    0.19954929D 04    0.13949845D 00    0.20825028D 01
    0.55333328D 01   -0.29587384D 01   -0.41179919D 02    0.19974538D 04    0.14481802D 00    0.23196196D 01
    0.55666666D 01   -0.34603726D 01   -0.46852172D 02    0.19994816D 04    0.15179214D 00    0.26178996D 01
    0.55999994D 01   -0.39620667D 01   -0.52522207D 02    0.20015022D 04    0.16064567D 00    0.30058537D 01
    0.56333332D 01   -0.44638542D 01   -0.58190061D 02    0.20034425D 04    0.17141668D 00    0.35283328D 01
    0.56666660D 01   -0.49657974D 01   -0.63855848D 02    0.20052333D 04    0.18393892D 00    0.42657113D 01
    0.56999998D 01   -0.54680270D 01   -0.69519756D 02    0.20068116D 04    0.19784191D 00    0.53595158D 01
    0.57333326D 01   -0.59708724D 01   -0.75182035D 02    0.20081236D 04    0.21256459D 00    0.70783036D 01
    0.57666664D 01   -0.64754758D 01   -0.80842994D 02    0.20091258D 04    0.22738804D 00    0.99453355D 01
    0.57999992D 01   -0.69903729D 01   -0.86502978D 02    0.20097871D 04    0.24149444D 00    0.14972293D 02
    0.58333330D 01    0.17256526D 03   -0.87837635D 02    0.20100896D 04   -0.10000000D 01   -0.10000000D 01
    0.58666658D 01    0.17203833D 03   -0.82178456D 02    0.20100295D 04   -0.10000000D 01   -0.10000000D 01
    0.58999996D 01    0.17153281D 03   -0.76519097D 02    0.20096167D 04   -0.10000000D 01   -0.10000000D 01
    0.59333324D 01    0.17102972D 03   -0.70859189D 02    0.20088745D 04   -0.10000000D 01   -0.10000000D 01
    0.59666662D 01    0.17052739D 03   -0.65198392D 02    0.20078389D 04    0.27682238D 00    0.12755927D 02
    0.59999990D 01    0.17002540D 03   -0.59536414D 02    0.20065568D 04    0.27457217D 00    0.81414616D 01
    0.60333328D 01    0.16952358D 03   -0.53873016D 02    0.20050845D 04    0.26942499D 00    0.55681250D 01
    0.60666666D 01    0.16902188D 03   -0.48208027D 02    0.20034853D 04    0.26171124D 00    0.40640657D 01
    0.60999994D 01    0.16852024D 03   -0.42541345D 02    0.20018273D 04    0.25177401D 00    0.31292844D 01
    0.61333332D 01    0.16801864D 03   -0.36872944D 02    0.20001806D 04    0.23995836D 00    0.25191991D 01
    0.61666660D 01    0.16751708D 03   -0.31202870D 02    0.19986147D 04    0.22664399D 00    0.21058893D 01
    0.61999998D 01    0.16701553D 03   -0.25531243D 02    0.19971953D 04    0.21230584D 00    0.18184608D 01
    0.62333326D 01    0.16651401D 03   -0.19858247D 02    0.19959821D 04    0.19757593D 00    0.16163526D 01
    0.62666664D 01    0.16601249D 03   -0.14184125D 02    0.19950260D 04    0.18327760D 00    0.14739773D 01
    0.62999992D 01    0.16551098D 03   -0.85091668D 01    0.19943675D 04    0.17040563D 00    0.13763874D 01
    0.63333330D 01    0.16500947D 03   -0.28336973D 01    0.19940344D 04    0.16003026D 00    0.13140080D 01
    0.63666658D 01    0.16450796D 03    0.28419379D 01    0.19940409D 04    0.15311778D 00    0.12813606D 01
    0.63999996D 01    0.16400644D 03    0.85173857D 01    0.19943871D 04    0.15030586D 00    0.12755073D 01
    0.64333324D 01    0.16350492D 03    0.14192301D 02    0.19950587D 04    0.15173993D 00    0.12957073D 01
    0.64666662D 01    0.16300339D 03    0.19866359D 02    0.19960280D 04    0.15707976D 00    0.13426589D 01
    0.64999990D 01    0.16250184D 03    0.25539273D 02    0.19972545D 04    0.16566397D 00    0.14203000D 01
    0.65333328D 01    0.16200027D 03    0.31210802D 02    0.19986871D 04    0.17670175D 00    0.15352653D 01
    0.65666666D 01    0.16149867D 03    0.36880763D 02    0.20002659D 04    0.18938595D 00    0.16995163D 01
    0.65999994D 01    0.16099704D 03    0.42549039D 02    0.20019249D 04    0.20292273D 00    0.19331434D 01
    0.66333332D 01    0.16049534D 03    0.48215584D 02    0.20035941D 04    0.21652941D 00    0.22680990D 01
    0.66666660D 01    0.15999357D 03    0.53880427D 02    0.20052032D 04    0.22944602D 00    0.27615993D 01
    0.66999998D 01    0.15949167D 03    0.59543671D 02    0.20066838D 04    0.24097716D 00    0.35169125D 01
    0.67333326D 01    0.15898955D 03    0.65205489D 02    0.20079720D 04    0.25055559D 00    0.47355447D 01
    0.67666664D 01    0.15848702D 03    0.70866119D 02    0.20090117D 04    0.25780540D 00    0.68525783D 01
    0.67999992D 01    0.15798357D 03    0.76525857D 02    0.20097558D 04    0.26258076D 00    0.10907015D 02
    0.68333330D 01    0.15747719D 03    0.82185042D 02    0.20101684D 04    0.26496255D 00    0.19765450D 02
    0.68666658D 01    0.15694477D 03    0.87844047D 02    0.20102263D 04   -0.10000000D 01   -0.10000000D 01
    0.68999996D 01   -0.23487497D 02    0.86496737D 02    0.20099197D 04   -0.10000000D 01   -0.10000000D 01
    0.69333324D 01   -0.24005187D 02    0.80836919D 02    0.20092525D 04   -0.10000000D 01   -0.10000000D 01
    0.69666662D 01   -0.24510449D 02    0.75176119D 02    0.20082428D 04   -0.10000000D 01   -0.10000000D 01
    0.69999990D 01   -0.25013584D 02    0.69513987D 02    0.20069217D 04   -0.10000000D 01   -0.10000000D 01
    0.70333328D 01   -0.25515972D 02    0.63850213D 02    0.20053326D 04    0.24480358D 00    0.86722599D 01
    0.70666666D 01   -0.26018013D 02    0.58184546D 02    0.20035298D 04    0.23716515D 00    0.58032812D 01
    0.70999994D 01   -0.26519864D 02    0.52516795D 02    0.20015762D 04    0.22816733D 00    0.42010514D 01
    0.71333332D 01   -0.27021599D 02    0.46846845D 02    0.19995412D 04    0.21775416D 00    0.32267991D 01
    0.71666660D 01   -0.27523259D 02    0.41174657D 02    0.19974980D 04    0.20600167D 00    0.25987202D 01
    0.71999998D 01   -0.28024869D 02    0.35500272D 02    0.19955211D 04    0.19315428D 00    0.21763986D 01
    0.72333326D 01   -0.28526442D 02    0.29823811D 02    0.19936830D 04    0.17963098D 00    0.18854031D 01
    0.72666664D 01   -0.29027989D 02    0.24145468D 02    0.19920519D 04    0.16600202D 00    0.16842489D 01
    0.72999992D 01   -0.29529517D 02    0.18465503D 02    0.19906885D 04    0.15293825D 00    0.15477696D 01
    0.73333330D 01   -0.30031030D 02    0.12784237D 02    0.19896439D 04    0.14113403D 00    0.14587962D 01
    0.73666658D 01   -0.30532534D 02    0.71020362D 01    0.19889571D 04    0.13120809D 00    0.14063061D 01
    0.73999996D 01   -0.31034030D 02    0.14192999D 01    0.19886539D 04    0.12359831D 00    0.13819735D 01
    0.74333324D 01   -0.31535522D 02   -0.42635520D 01    0.19887455D 04    0.11848695D 00    0.13809296D 01
    0.74666662D 01   -0.32037015D 02   -0.99460962D 01    0.19892284D 04    0.11579996D 00    0.14001216D 01
    0.74999990D 01   -0.32538509D 02   -0.15627920D 02    0.19900840D 04    0.11529413D 00    0.14387985D 01
    0.75333328D 01   -0.33040010D 02   -0.21308639D 02    0.19912800D 04    0.11669116D 00    0.14973247D 01
    0.75666666D 01   -0.33541520D 02   -0.26987905D 02    0.19927713D 04    0.11979158D 00    0.15780553D 01
    0.75999994D 01   -0.34043045D 02   -0.32665426D 02    0.19945021D 04    0.12452435D 00    0.16859535D 01
    0.76333332D 01   -0.34544590D 02   -0.38340973D 02    0.19964079D 04    0.13092895D 00    0.18270945D 01
    0.76666660D 01   -0.35046163D 02   -0.44014385D 02    0.19984181D 04    0.13909246D 00    0.20142739D 01
    0.76999998D 01   -0.35547777D 02   -0.49685580D 02    0.20004591D 04    0.14907040D 00    0.22646750D 01
    0.77333326D 01   -0.36049454D 02   -0.55354557D 02    0.20024567D 04    0.16081649D 00    0.26084371D 01
    0.77666664D 01   -0.36551231D 02   -0.61021390D 02    0.20043391D 04    0.17413769D 00    0.30958884D 01
    0.77999992D 01   -0.37053181D 02   -0.66686231D 02    0.20060400D 04    0.18868119D 00    0.38167246D 01
    0.78333330D 01   -0.37555470D 02   -0.72349298D 02    0.20075005D 04    0.20395148D 00    0.49436461D 01
    0.78666658D 01   -0.38058579D 02   -0.78010873D 02    0.20086716D 04    0.21935082D 00    0.68417847D 01
    0.78999996D 01   -0.38564702D 02   -0.83671284D 02    0.20095159D 04    0.23423392D 00    0.10406589D 02
    0.79333324D 01   -0.39150312D 02   -0.89330894D 02    0.20100087D 04    0.24796657D 00    0.18255015D 02
    0.79666662D 01    0.14045502D 03   -0.85009908D 02    0.20101388D 04   -0.10000000D 01   -0.10000000D 01
    0.79999990D 01    0.13994689D 03   -0.79350735D 02    0.20099091D 04   -0.10000000D 01   -0.10000000D 01
    0.80333328D 01    0.13944341D 03   -0.73691206D 02    0.20093364D 04   -0.10000000D 01   -0.10000000D 01
    0.80666666D 01    0.13894099D 03   -0.68030963D 02    0.20084501D 04   -0.10000000D 01   -0.10000000D 01
    0.80999994D 01    0.13843898D 03   -0.62369690D 02    0.20072919D 04   -0.10000000D 01   -0.10000000D 01
    0.81333332D 01    0.13793717D 03   -0.56707119D 02    0.20059137D 04    0.28196204D 00    0.10747370D 02
    0.81666660D 01    0.13743548D 03   -0.51043045D 02    0.20043754D 04    0.27782666D 00    0.66153567D 01
    0.81999998D 01    0.13693386D 03   -0.45377331D 02    0.20027433D 04    0.27094466D 00    0.45297113D 01
    0.82333326D 01    0.13643229D 03   -0.39709911D 02    0.20010870D 04    0.26150709D 00    0.33440705D 01
